gate 000: hrk OR rnb -> pwm
gate 001: x05 XOR y05 -> jbk
gate 002: hbc XOR hnr -> z31
gate 003: fcd AND mgc -> qck
gate 004: x23 AND y23 -> fhn
gate 005: dkb AND rvf -> rmv
gate 006: hhc AND knm -> stm
gate 007: vcd XOR vbv -> z43
gate 008: prd XOR ggg -> z22
gate 009: hbd OR cst -> cgh
gate 010: x21 AND y21 -> ncf
gate 011: y40 AND x40 -> nmp
gate 012: scf XOR ksv -> z29
gate 013: pmd XOR tqd -> z07
gate 014: tnp AND rft -> fpf
gate 015: y11 XOR x11 -> gkb
gate 016: y07 AND x07 -> dgf
gate 017: y15 AND x15 -> qdr
gate 018: nbj OR tqv -> pwv
gate 019: mtq AND tkj -> fgp
gate 020: tqd AND pmd -> bdf
gate 021: y30 XOR x30 -> fmg
gate 022: x34 AND y34 -> ccs
gate 023: bmh OR stm -> rfd
gate 024: rvf XOR dkb -> z27
gate 025: y44 XOR x44 -> wcj
gate 026: x24 XOR y24 -> rkg
gate 027: fmr XOR vtd -> z17
gate 028: chr OR nps -> svt
gate 029: x35 XOR y35 -> qrh
gate 030: rfd AND smf -> jgr
gate 031: qwr XOR pbf -> z26
gate 032: cdn OR qdr -> bnc
gate 033: x37 XOR y37 -> gvf
gate 034: pwm AND djk -> hwg
gate 035: nrf OR jkk -> chf
gate 036: rtc AND rhc -> vvd
gate 037: y12 XOR x12 -> tqw
gate 038: cmk OR fhn -> jbj
gate 039: ttv OR mbp -> hnr
gate 040: x18 XOR y18 -> mvn
gate 041: mtq XOR tkj -> z03
gate 042: krw AND vnk -> vcj
gate 043: y25 AND x25 -> trg
gate 044: tsc XOR pns -> fhp
gate 045: bnc AND vmr -> ndj
gate 046: x33 XOR y33 -> smf
gate 047: hmk OR ndj -> fmr
gate 048: y41 AND x41 -> njd
gate 049: mch XOR jbk -> z05
gate 050: cgh XOR tqw -> z12
gate 051: y16 AND x16 -> z16
gate 052: y14 AND x14 -> wbg
gate 053: jtv AND nsc -> cdn
gate 054: y23 XOR x23 -> hvv
gate 055: tqw AND cgh -> mpw
gate 056: dvq OR ssp -> rft
gate 057: nmp OR jjg -> jct
gate 058: tbw XOR dsq -> z08
gate 059: fmr AND vtd -> jkg
gate 060: y24 AND x24 -> pbd
gate 061: x06 AND y06 -> dsw
gate 062: x07 XOR y07 -> pmd
gate 063: shm XOR njv -> z13
gate 064: x38 XOR y38 -> tnp
gate 065: gvf XOR cqv -> z37
gate 066: gjj OR dsw -> tqd
gate 067: x32 XOR y32 -> hhc
gate 068: y18 AND x18 -> jkk
gate 069: tmq AND fmg -> mbp
gate 070: x11 AND y11 -> cst
gate 071: gdq XOR chf -> z19
gate 072: gkk OR njd -> hdc
gate 073: ntn AND dtn -> wsm
gate 074: krw XOR vnk -> z21
gate 075: vbv AND vcd -> tvw
gate 076: y08 XOR x08 -> tbw
gate 077: x04 XOR y04 -> wfr
gate 078: qvp OR dhq -> knm
gate 079: wgr XOR bwj -> z39
gate 080: scf AND ksv -> mfv
gate 081: sfs OR fpf -> wgr
gate 082: qrh XOR bjg -> z35
gate 083: y16 XOR x16 -> vmr
gate 084: vvd OR dqh -> cqv
gate 085: wbg OR hwg -> nsc
gate 086: x25 XOR y25 -> cfr
gate 087: rft XOR tnp -> z38
gate 088: wfr XOR fnv -> z04
gate 089: y14 XOR x14 -> djk
gate 090: ncf OR vcj -> ggg
gate 091: x34 XOR y34 -> mgc
gate 092: gkb AND pjh -> hbd
gate 093: x10 XOR y10 -> tck
gate 094: x17 AND y17 -> kgb
gate 095: ggg AND prd -> jcw
gate 096: mgm XOR cfr -> z25
gate 097: kvm OR svd -> z45
gate 098: ddg XOR tck -> z10
gate 099: y27 XOR x27 -> tpc
gate 100: wjq XOR thj -> z06
gate 101: y02 AND x02 -> cpf
gate 102: sjc OR jhb -> mch
gate 103: gms OR cpf -> tkj
gate 104: jtv XOR nsc -> z15
gate 105: fnw AND wcj -> kvm
gate 106: tcw OR gvh -> wjq
gate 107: smf XOR rfd -> fcd
gate 108: jbj AND rkg -> dnv
gate 109: y19 AND x19 -> qgq
gate 110: jnh OR qkj -> spt
gate 111: mvn AND wjt -> nrf
gate 112: y22 AND x22 -> wnk
gate 113: jct AND hmm -> gkk
gate 114: x20 XOR y20 -> pns
gate 115: grr AND svt -> jjg
gate 116: x29 AND y29 -> pgp
gate 117: tck AND ddg -> cdj
gate 118: mgm AND cfr -> kkp
gate 119: x32 AND y32 -> bmh
gate 120: svt XOR grr -> z40
gate 121: hbc AND hnr -> qvp
gate 122: bjg AND qrh -> qmw
gate 123: y03 XOR x03 -> mtq
gate 124: y03 AND x03 -> qkp
gate 125: y26 AND x26 -> ttw
gate 126: fdg OR mpw -> njv
gate 127: kqj OR bcs -> ddg
gate 128: fjg OR qmw -> rtc
gate 129: ccs OR qck -> bjg
gate 130: y01 XOR x01 -> rsq
gate 131: x01 AND y01 -> qkj
gate 132: wjq AND thj -> gjj
gate 133: x09 AND y09 -> bcs
gate 134: mvn XOR wjt -> z18
gate 135: qgq OR qpp -> tsc
gate 136: spt AND vjn -> gms
gate 137: x38 AND y38 -> sfs
gate 138: nmd OR wdk -> vcd
gate 139: y41 XOR x41 -> hmm
gate 140: y06 XOR x06 -> thj
gate 141: chf AND gdq -> qpp
gate 142: x31 AND y31 -> dhq
gate 143: y42 AND x42 -> nmd
